NAMES,ADDRESS,Latitude,Longitude,Full Address
"Clever Fox CafeRed Fox Hotel,Aerocity, South Delhi","Red Fox Hotel,Aerocity, South Delhi",28.549642,77.1211905,"Aerocity, Indira Gandhi International Airport, New Delhi, Delhi 110037, India"
"One8 CommuneWorldmark 2,Aerocity, South Delhi","Worldmark 2,Aerocity, South Delhi",28.5513981,77.1224891,"8, Worldmark 2, Aerocity, New Delhi, Delhi 110037, India"
"Soul PantryAndaz Delhi,Aerocity, South Delhi","Andaz Delhi,Aerocity, South Delhi",28.5537733,77.1223716,"Gate No. 5, Andaz Delhi, Asset No.1, Aerocity, New Delhi, Delhi 110037, India"
"HonkHotel Pullman New Delhi,Aerocity, South Delhi","Hotel Pullman New Delhi,Aerocity, South Delhi",28.5538674,77.123638,"Asset No 02, Gmr Hospitality District, IGI Rd, Aerocity, New Delhi, Delhi 110037, India"
"Farmers' Basket at PluckHotel Pullman New Delhi,Aerocity, South Delhi","Hotel Pullman New Delhi,Aerocity, South Delhi",28.554137,77.123272,"Asset No 02 GMR Hospitality District IGI Airport New Delhi, Aerocity, Delhi 110037- Pullman Lobby level, Aerocity, New Delhi, Delhi 110037, India"
"Mr. ConfectionerPride Plaza Hotel Aerocity,Aerocity, South Delhi","Pride Plaza Hotel Aerocity,Aerocity, South Delhi",28.549642,77.1211905,"Aerocity, Indira Gandhi International Airport, New Delhi, Delhi 110037, India"
"QuoinNovotel New Delhi Aerocity,Aerocity, South Delhi","Novotel New Delhi Aerocity,Aerocity, South Delhi",28.549642,77.1211905,"Aerocity, Indira Gandhi International Airport, New Delhi, Delhi 110037, India"
"UnderdoggsWorldmark 2,Aerocity, South Delhi","Worldmark 2,Aerocity, South Delhi",28.549642,77.1211905,"Aerocity, Indira Gandhi International Airport, New Delhi, Delhi 110037, India"
"Punjab GrillWorldmark 1,Aerocity, South Delhi","Worldmark 1,Aerocity, South Delhi",28.5505079,77.1218287,"Shop 3, Worldmark 1, Aerocity Access Rd, Aerocity, New Delhi, Delhi 110037, India"
"EmoiWorldmark 2,Aerocity, South Delhi","Worldmark 2,Aerocity, South Delhi",28.549642,77.1211905,"Aerocity, Indira Gandhi International Airport, New Delhi, Delhi 110037, India"
"AnnaMayaAndaz Delhi,Aerocity, South Delhi","Andaz Delhi,Aerocity, South Delhi",28.5547513,77.1217234,"Ground Floor, Asset No.1, Aerocity, New Delhi, Delhi 110037, India"
"Juniper BarAndaz Delhi,Aerocity, South Delhi","Andaz Delhi,Aerocity, South Delhi",28.5547123,77.1217818,"Gin Bar at Andaz Delhi, Northern Access Rd, Aerocity, New Delhi, Delhi 110037, India"
"Cafe PluckHotel Pullman New Delhi,Aerocity, South Delhi","Hotel Pullman New Delhi,Aerocity, South Delhi",28.554137,77.123272,"Asset No 02 GMR Hospitality District IGI Airport New Delhi, Aerocity, Delhi 110037- Pullman Lobby level, Aerocity, New Delhi, Delhi 110037, India"
"Delhi Baking CompanyJW Mariott Hotel New Delhi Aerocity,Aerocity, South Delhi","JW Mariott Hotel New Delhi Aerocity,Aerocity, South Delhi",28.5532608,77.12130320000001,"Asset Area 4, Aerocity, Indira Gandhi International Airport, Aerocity, New Delhi, Delhi 110037, India"
