name,location,Latitude,Longitude,Full Address
"Pride Plaza Hotel, Aerocity New Delhi","Aerocity, New Delhi",28.5528831,77.1230929,"Asset 5-A, Hospitality District, Indira Gandhi International Airport, Aerocity, New Delhi, Delhi 110037, India"
Novotel New Delhi Aerocity- International Airport,"Aerocity, New Delhi",28.5535649,77.1232224,"Aerocity Hospitality District, Asset No 2, Aerocity, New Delhi, Delhi 110037, India"
Aloft New Delhi Aerocity,"Aerocity, New Delhi",28.5523157,77.1238706,"5B, IGI T3 Road, Aerocity, Delhi Aerocity, New Delhi, Delhi 110037, India"
"Holiday Inn New Delhi International Airport, an IHG Hotel","Aerocity, New Delhi",28.5500782,77.1228015,"Asset Area 12 Hospitality District, Aerocity, New Delhi, Delhi 110037, India"
Andaz Delhi Aerocity- Concept by Hyatt,"Aerocity, New Delhi",28.5543682,77.1212822,"Gate No. 1, Asset No.1, Hospitality District Delhi, Street Number 1, Aerocity, Mahipalpur, New Delhi, Delhi 110037, India"
Pullman New Delhi Aerocity- International Airport,"Aerocity, New Delhi",28.5538674,77.123638,"Asset No 02, Gmr Hospitality District, IGI Rd, Aerocity, New Delhi, Delhi 110037, India"
Roseate House New Delhi,"Aerocity, New Delhi",28.5509536,77.120589,"Asset 10, Northern Access Rd, Aerocity, Hospitality District, Indira Gandhi International Airport, New Delhi, Delhi 110037, India"
Hotel HSP Suites At Delhi Airport,"Aerocity, New Delhi",28.5498314,77.12989429999999,"NH 8, near Delhi Airport, Block RZ, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India"
ibis New Delhi Aerocity - An Accor Brand,"Aerocity, New Delhi",28.551431,77.123132,"Ibis New Delhi Aerocity, IGI Rd, Aerocity, Delhi, New Delhi, Delhi 110037, India"
Hotel tu casa International Near Delhi Airport,"Aerocity, New Delhi",28.550255,77.1302961,"A Block, 4, Street No. 9, Block RZ, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India"
Hotel Almati Inn at Delhi Airport,"Aerocity, New Delhi",28.5561437,77.0999623,"Delhi Arpt (DEL), Indira Gandhi International Airport, New Delhi, Delhi 110037, India"
Hotel Citizen New Delhi,"Aerocity, New Delhi",28.5457147,77.1231177,"L 42A/354, near Bank of Baroda, Block R, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India"
Hotel Smart Plaza Delhi Airport,"Aerocity, New Delhi",28.549418,77.130001,"A Block Road No 4, Block B, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India"
Hotel Castle Blue New Delhi Near IGI Airport,"Aerocity, New Delhi",28.5502769,77.1297357,"No.A-109, Road No-5, Near Hotel Lohias, Mahipalpur Extension, Block RZ, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India"
Hotel Stanley- Near Delhi Airport,"Aerocity, New Delhi",28.5498118,77.1299222,"RZ 175, Rd Number 4, Block RZ, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India"
"Lemon Tree Premier, Delhi Airport","Aerocity, New Delhi",28.5516043,77.1208228,"Asset No. 6, Delhi Arpt, 6, Northern Access Rd, Aerocity, New Delhi, Delhi 110037, India"
Hotel Ramida Plaza At Delhi Airport,"Aerocity, New Delhi",28.5561437,77.0999623,"Delhi Arpt (DEL), Indira Gandhi International Airport, New Delhi, Delhi 110037, India"
"Red Fox Hotel, Delhi Airport","Aerocity, New Delhi",28.5517656,77.12099669999999,"Asset No 6, Red Fox Hotel, IGI Rd, next to Lemon Tree Premier, Aerocity, New Delhi, Delhi 110037, India"
JW Marriott Hotel New Delhi Aerocity,"Aerocity, New Delhi",28.553185,77.12134999999999,"Asset Area 4 - Hospitality District Delhi, Aerocity, New Delhi, Delhi 110037, India"
Hotel Franklein Stay At Delhi Airport,"Aerocity, New Delhi",28.5485769,77.1276628,"A-384/3, Rd Number 3, Block A, Mahipalpur Extension, Mahipalpur, New Delhi, Delhi 110037, India"
Prime Z Suites Hotel- Near Delhi International Airport,"Aerocity, New Delhi",28.7040592,77.10249019999999,"Delhi, India"
The Nirvana Delhi Airport,"Aerocity, New Delhi",28.5561437,77.0999623,"Delhi Arpt (DEL), Indira Gandhi International Airport, New Delhi, Delhi 110037, India"
Hotel Airport Sinon by Dream Laxmi New Delhi At IGI Airport,"Aerocity, New Delhi",28.550222,77.13494899999999,"H42M+3XP, Road No. 6, Block RZ, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110076, India"
OPO Hotel Viva Palace,"Aerocity, New Delhi",,,
OYO Hotel Icon Near Delhi Airport,"Aerocity, New Delhi",28.545138,77.1225266,"L, 276, Street No. 9, near Delhi Airport, L block, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India"
